Date,Open,High,Low,Close,Adj Close,Volume
2020-11-09,191.304993,197.000000,181.830002,184.080002,184.080002,14986000
2020-11-10,182.369995,183.460007,167.110001,172.000000,172.000000,14840000
2020-11-11,179.649994,184.000000,177.699997,183.419998,183.419998,9040800
2020-11-12,184.259995,185.190002,177.000000,178.509995,178.509995,9138900
2020-11-13,180.600006,180.899994,175.500000,177.190002,177.190002,6955400
2020-11-16,175.830002,179.220001,173.009995,179.160004,179.160004,7428200
2020-11-17,180.119995,190.740005,180.119995,187.899994,187.899994,11140700
2020-11-18,187.490005,187.500000,182.270004,185.539993,185.539993,5627300
2020-11-19,190.779999,194.009995,185.740005,191.660004,191.660004,12280100
2020-11-20,193.690002,200.990005,191.550003,195.970001,195.970001,10935100
2020-11-23,200.110001,209.360001,199.270004,207.779999,207.779999,12509600
2020-11-24,208.000000,208.039993,199.550003,202.899994,202.899994,12288900
2020-11-25,207.449997,214.520004,204.570007,212.919998,212.919998,12948100
2020-11-27,215.000000,215.000000,205.899994,212.520004,212.520004,6526000
2020-11-30,213.000000,213.539993,200.229996,210.960007,210.960007,14091100
2020-12-01,212.559998,212.949997,200.500000,203.000000,203.000000,10814400
2020-12-02,200.130005,204.059998,195.130005,202.000000,202.000000,10483700
2020-12-03,207.000000,208.690002,204.050003,205.529999,205.529999,6918200
2020-12-04,206.289993,209.750000,203.580002,208.149994,208.149994,6566200
2020-12-07,209.789993,213.662003,208.250000,212.580002,212.580002,5895300
2020-12-08,213.330002,213.899994,208.250000,213.009995,213.009995,5373200
2020-12-09,213.960007,220.500000,205.009995,207.039993,207.039993,11133000
2020-12-10,205.389999,217.610001,203.570007,217.250000,217.250000,7919200
2020-12-11,218.259995,222.199997,213.169998,216.589996,216.589996,7914600
2020-12-14,218.009995,220.429993,214.501007,215.860001,215.860001,7379000
2020-12-15,218.414993,221.720001,216.729996,219.990005,219.990005,5713600
2020-12-16,223.860001,227.960007,220.029999,227.080002,227.080002,8216500
2020-12-17,230.000000,237.089996,227.699997,230.740005,230.740005,10440100
2020-12-18,235.000000,236.369995,231.100006,235.449997,235.449997,8099500
2020-12-21,236.089996,241.850006,232.259995,233.500000,233.500000,11155400
2020-12-22,236.500000,243.380005,236.000000,241.580002,241.580002,9414200
2020-12-23,241.360001,241.820007,230.580002,230.679993,230.679993,13482700
2020-12-24,234.229996,236.000000,225.899994,228.279999,228.279999,8411200
2020-12-28,232.380005,232.949997,219.649994,223.339996,223.339996,11640000
2020-12-29,223.880005,224.589996,208.809998,214.000000,214.000000,15453100
2020-12-30,215.940002,221.509995,214.067001,221.039993,221.039993,9837000
2020-12-31,217.710007,219.449997,214.419998,217.639999,217.639999,6872400
2021-01-04,222.494995,225.979996,216.000000,221.160004,221.160004,9838400
2021-01-05,219.419998,230.339996,219.000000,229.750000,229.750000,9699400
2021-01-06,223.410004,233.500000,223.160995,226.889999,226.889999,12003500
2021-01-07,232.520004,240.399994,231.500000,239.479996,239.479996,10214200
2021-01-08,244.350006,246.490005,237.179993,241.449997,241.449997,9102100
2021-01-11,231.610001,232.740005,225.300003,225.500000,225.500000,14107500
2021-01-12,228.509995,229.330002,223.720001,227.520004,227.520004,8452900
2021-01-13,228.949997,234.820999,226.800003,230.919998,230.919998,7601400
2021-01-14,233.899994,238.759995,229.589996,232.789993,232.789993,6706500
2021-01-15,233.630005,236.429993,225.580002,227.750000,227.750000,7049200
2021-01-19,231.070007,231.589996,223.250000,227.259995,227.259995,6505600
2021-01-20,230.119995,230.880005,225.500000,226.649994,226.649994,6012400
2021-01-21,227.000000,227.500000,218.199997,219.619995,219.619995,10472400
2021-01-22,219.000000,222.910004,217.710007,222.880005,222.880005,6867500
2021-01-25,225.000000,225.940002,209.750000,216.639999,216.639999,11328100
2021-01-26,217.089996,219.000000,208.710007,209.169998,209.169998,10039500
2021-01-27,204.009995,209.350006,197.699997,202.460007,202.460007,10892700
2021-01-28,208.720001,222.580002,206.559998,219.910004,219.910004,12500800
2021-01-29,224.970001,225.899994,212.580002,215.960007,215.960007,9383900
2021-02-01,215.809998,223.009995,213.440002,221.940002,221.940002,7849300
2021-02-02,225.190002,230.220001,221.990005,227.630005,227.630005,6545300
2021-02-03,228.500000,234.570007,221.880005,227.940002,227.940002,5193400
2021-02-04,233.529999,239.309998,231.070007,237.720001,237.720001,8893400
2021-02-05,238.000000,240.570007,235.270004,240.380005,240.380005,5077600
2021-02-08,245.080002,264.266998,244.000000,259.970001,259.970001,17114900
2021-02-09,256.579987,262.570007,250.550003,258.119995,258.119995,10815100
2021-02-10,259.769989,263.149994,252.750000,257.489990,257.489990,8644600
2021-02-11,262.000000,269.665009,258.500000,265.929993,265.929993,10191800
2021-02-12,265.149994,273.839996,262.531006,272.750000,272.750000,6766100
2021-02-16,277.119995,283.190002,272.320007,276.019989,276.019989,9193600
2021-02-17,274.369995,274.470001,260.760010,270.940002,270.940002,11094300
2021-02-18,265.489990,272.790009,261.852997,270.850006,270.850006,7236400
2021-02-19,275.119995,280.938995,273.589996,276.570007,276.570007,7373400
2021-02-22,271.850006,278.100006,266.359985,268.079987,268.079987,9740400
2021-02-23,247.550003,261.299988,232.500000,256.589996,256.589996,18971900
2021-02-24,243.110001,246.000000,230.679993,237.320007,237.320007,26123100
2021-02-25,244.869995,245.839996,223.660004,227.110001,227.110001,15916300
2021-02-26,226.320007,232.779999,217.399994,230.029999,230.029999,14898400
2021-03-01,238.110001,241.718994,232.100006,241.000000,241.000000,8834000
2021-03-02,251.899994,258.489990,246.470001,252.199997,252.199997,17317100
2021-03-03,249.000000,250.949997,232.005997,234.199997,234.199997,12103000
2021-03-04,228.759995,232.630005,210.000000,218.410004,218.410004,18423900
2021-03-05,221.270004,222.009995,191.360001,216.440002,216.440002,24750600
2021-03-08,217.710007,221.630005,201.000000,201.869995,201.869995,13442500
2021-03-09,215.369995,226.490005,211.500000,225.089996,225.089996,14438500
2021-03-10,231.610001,237.919998,223.205002,226.729996,226.729996,12951600
2021-03-11,234.970001,243.490005,231.009995,241.720001,241.720001,11703500
2021-03-12,232.000000,242.220001,230.050003,242.110001,242.110001,8829600
2021-03-15,243.520004,251.259995,239.617004,251.229996,251.229996,8867200
2021-03-16,252.259995,252.500000,238.669998,243.360001,243.360001,7440400
2021-03-17,235.000000,248.679993,232.750000,246.470001,246.470001,10098700
2021-03-18,242.800003,243.399994,222.559998,224.300003,224.300003,12435000
